full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H,diameter
159598 (2001 XJ232),2.2690651728137996,0.1646710050821862,7.919127685177586,61.20943145529007,213.9192294216833,1.895415930209567,2.642714415418033,3.4180519352306495,6742.0,0,685,,,15.8,2.345
278956 Shei-Pa (2008 UZ83),3.197577205340455,0.1124718911173805,22.789546641162467,51.89425937252504,38.79047570311739,2.8379396500619865,3.557214760618924,5.71794220319196,6322.0,0,177,,,15.4,3.7680000000000002
115656 (2003 UT137),3.141838736716504,0.210222493759588,10.320640733332631,178.35008192831089,305.7646221446186,2.481353562493487,3.802323910939521,5.56908744519658,8165.0,0,709,,,14.4,8.902000000000001
  4021 Dancey (1981 QD2),2.282695900359998,0.1694767205334478,3.542124247614332,49.56471122345332,327.0437459211296,1.8958320851918402,2.669559715528156,3.4488975241928195,22772.0,0,2099,,,13.5,4.543
 64311 (2001 UQ32),2.416644215379039,0.1278518119536207,7.668544153161775,79.56527036949488,319.2404905453693,2.107671873595593,2.7256165571624855,3.7568796079961,7842.0,0,659,,,15.6,2.0669999999999997
 29633 Weatherwax (1998 VH2),2.276095034870585,0.09970657000774412,4.912363767411651,240.5137643571097,311.9255895782383,2.049153405931982,2.503036663809188,3.43394859287731,24322.0,0,1386,,,15.1,3.1010000000000004
 84576 (2002 VH16),2.88146576568018,0.1415322282587137,1.2906029309670477,208.65105829887162,333.7233444190688,2.473645495212263,3.2892860361480962,4.89134615563343,7965.0,0,602,,,15.4,4.676
163826 (2003 SK6),2.6400694844676593,0.2667482819474009,17.5410133894576,11.543337687028348,45.76046103859048,1.9358354852641508,3.3443034836711667,4.28974264417975,7594.0,0,451,,,15.3,5.629
 57674 (2001 UD35),3.2189303550704236,0.1187800286350821,17.00938143212728,64.907657880689,14.39601211397918,2.8365857153208234,3.601274994820022,5.77531361848724,15122.0,0,1090,,,13.9,9.435
 11086 Nagatayuji (1993 TC1),2.259479328202108,0.1601251642465797,5.467676598810488,40.117784999686364,350.5637834038372,1.897679829661993,2.6212788267422216,3.39641508260293,19623.0,0,2101,,,13.7,5.9110000000000005
161190 (2002 TW180),3.1353430044984885,0.2265194037996661,14.61893305957478,357.0185114674313,41.91759832037372,2.425126976412037,3.845559032584939,5.551825294300981,8488.0,0,674,,,14.8,6.806
237813 (2002 CP84),2.453107540663882,0.1899074018569341,10.307427068141731,145.67425792417168,86.6642647340083,1.987244261140751,2.9189708201870133,3.8422275654639604,7360.0,0,280,,,16.4,1.3
409256 (2004 HO1),2.20609708717059,0.5210741501550139,25.773918298636733,43.39375892689991,265.1078186089677,1.056556922313723,3.355637252027456,3.27676377693355,4798.0,0,172,,,18.2,1.8869999999999998
 41213 Mimoun (1999 XG2),2.6473806236125026,0.2138528309239066,8.41255305744218,251.6677931435274,116.8569044048581,2.0812307827198717,3.2135304645051335,4.30757433886519,12324.0,0,1404,,,14.1,4.712
 41347 (2000 AR22),3.0605317787455015,0.1232647159524206,11.284986352684168,81.13277254345395,231.2597971059127,2.68327619837508,3.437787359115922,5.35431037216127,7754.0,0,1258,,,13.6,6.841
143492 (2003 DP4),3.065137251263234,0.07018430139013826,12.09116728303157,34.13437121106071,198.3640929832074,2.850012734618435,3.280261767908032,5.36640062581387,7204.0,0,389,,,15.0,4.752
130771 (2000 SU324),2.283652656479648,0.1188093775991204,22.29537150445406,194.84910692415482,38.80252551407782,2.0123333057107238,2.554972007248573,3.45106607819139,10340.0,0,322,,,16.5,2.76
340619 (2006 QR99),3.1644419575216287,0.1792770361482093,26.543848569677593,310.8822219313066,36.58281417098253,2.5971301823141144,3.7317537327291435,5.62929364385548,5023.0,0,186,,,15.1,6.817
161500 (2004 RW13),3.161342949710922,0.07666727635396313,16.3887187981207,335.9942608563194,141.1620542925094,2.9189713961357815,3.403714503286061,5.62102633161636,6682.0,0,411,,,14.9,8.514
185938 (2000 WF31),3.14984218428638,0.16585194204144801,16.72328811455981,224.6242140083397,237.5731737478891,2.6274347408984067,3.672249627674352,5.59038083885926,6818.0,0,521,,,14.6,6.426
 38350 (1999 RS149),2.773523048946916,0.0275617868929929,3.806032853432817,171.3960961466352,290.38768930707994,2.6970797977290375,2.849966300164795,4.619084118796139,8006.0,0,1546,,,14.4,9.115
374410 (2005 WM39),2.632580830403588,0.04981465637950823,2.8048069772887128,245.5595168883777,203.22595122027332,2.501439720945753,2.763721939861424,4.27150357457303,6204.0,0,230,,,16.7,2.3890000000000002
